Video_Content,Published_Date,Video_Length,Liked_Count,Comment_Count,Shared_Count,Product_Count,Video_URL
为春夏穿搭融入新的灵感，和我一起做果味鬼马女孩吧︎~#斯凯奇水果熊 #果味摇摆鬼马出彩,2023-03-13 12:01:01,30秒,107107,1283,3383,,https://www.douyin.com/share/video/7209182476508482848?
今天想去剪一个显脸小的刘海儿,2023-04-08 18:54:42,2分43秒,106162,2999,3179,,https://www.douyin.com/share/video/7219620240332705081?
跑步不流面汤的散粉被我找到了！#四宫格散粉#定妆,2023-02-23 12:00:43,2分13秒,105855,744,1147,,https://www.douyin.com/share/video/7202521743984954636?
头发一天不洗就出油？选对洗发水很重要！专为国人研发的茶多酚洗发水，您一定得试试！@墨雪旗舰店#洗发水#好物分享,2023-03-07 19:00:11,1分40秒,105802,3008,7692,,https://www.douyin.com/share/video/7207696473583095100?
啊啊啊啊 这条运动裤真的好适合梨形身材呀#百搭神裤 #显高显瘦显腿长 #ootd穿搭,2023-03-06 14:17:52,10秒,105296,2238,14961,,https://www.douyin.com/share/video/7207313575227034939?
天热了，今天带俩孩子买春天穿的睡衣，睡衣多得挑花眼。,2023-04-13 09:40:22,3分55秒,104466,3326,1326,,https://www.douyin.com/share/video/7220985296962342148?
“穷”我来解决，头皮问题它来解决！#卡诗#卡诗微米双萃洗发凝露#控油蓬松#控油洗发水 #头皮清洁,2023-03-04 17:00:58,2分22秒,104418,704,1270,,https://www.douyin.com/share/video/7206277055862852902?
干敏皮闭眼买！只要不停产，我愿意再回购10年！#科颜氏高保湿霜 #38必囤 #护肤,2023-02-26 17:01:04,1分9秒,103365,1368,2786,,https://www.douyin.com/share/video/7204032567060811064?
这几天在北京忙里忙外也没给家人们直播，今天抽点时间给大家分享一下这款眼霜，也是我天天自用款的眼霜，经济实惠又好用,2023-03-11 17:39:59,50秒,102642,2600,1174,,https://www.douyin.com/share/video/7209221108439059767?
【正版官方授权】自由之翼吊坠测评，已经被你们买的不限量了，这周末可以发，手慢无，质感确实不一样，收到礼物的艾尔迪亚人都哭了 #撤退的矮人,2023-03-16 14:27:38,29秒,101162,9524,7436,,https://www.douyin.com/share/video/7211026963908087100?
我终于拥有了所有女生都想要的梦中情发#卡诗微米双萃洗发凝露 #头皮清洁 #控油洗发水,2023-02-27 17:00:38,1分56秒,101100,975,1329,,https://www.douyin.com/share/video/7203635140067708160?
辣到我一口气买10件小吊带！这美背难怪被妹妹狂夸！#万宁 #好物推荐 #辣妹 #凡士林身体乳 #凡士林果酸身体乳,2023-04-11 17:00:09,2分5秒,100896,578,681,,https://www.douyin.com/share/video/7220687000020471074?
我妈妈为了“孩子”可真是操碎了心啊....#纽西之谜防晒隔离 #防晒 #我的乡村生活 @王玥,2023-04-19 17:01:04,4分27秒,100285,2390,2218,,https://www.douyin.com/share/video/7223204532430441765?
怪不得闺蜜出门总是能吸引目光，原来是用了这个#身体素颜霜 关键还香香的，女生真的要人手一支！,2023-03-01 17:39:36,48分36秒,100227,49,27032,,https://www.douyin.com/share/video/7205510138353012024?
一件解决你日常穿搭和运动需求的美式国潮，一定要趁热入手！#服饰种草官 #运动穿搭 #美式穿搭,2023-04-06 20:01:24,59秒,99897,1256,3336,,https://www.douyin.com/share/video/7218905783059188996?
视频中相关内容在@海飞丝头皮护理官方号直播中，头油贴头皮的大美女，都给我买这个洗发水，三天都不用洗头！！#海飞丝海藻洗发水 #海飞丝 #蓬松 #洗头 #油头,2023-02-22 20:31:25,1分19秒,99436,2151,5610,,https://www.douyin.com/share/video/7202939973337664771?
春天带宝宝去露营的爸妈们，这一点一定不能忽略！！#艾维诺 #儿童户外 #艾惟诺宝宝防晒霜,2023-03-28 18:02:09,1分20秒,99153,243,928,,https://www.douyin.com/share/video/7215526678389427508?
回国了我就想跟老妈说一句：其实我真的不丑…#amiro觅光射频仪,2023-02-28 12:00:26,2分20秒,99152,1455,834,,https://www.douyin.com/share/video/7204857126903221544?
眼周状态决定精气神，请大数据推给有泪沟的姐妹们！#欧莱雅20眼霜 #熬夜 #眼霜,2023-03-29 21:42:42,1分16秒,98658,230,819,,https://www.douyin.com/share/video/7215952330997370164?
谁懂啊 这可是他亲手打磨出来的戒指项链 #手工diy #恋爱,2023-04-01 11:41:26,17秒,98650,13481,14782,,https://www.douyin.com/share/video/7216921508260744505?
欢迎来到人民币不会骗人民频道！每次用完它家散粉只想把底妆牢牢焊脸上！#定妆 #散粉 #底妆,2023-02-25 12:00:45,1分16秒,98353,397,1129,,https://www.douyin.com/share/video/7201080971716840742?
当他开始频频令你怀疑和不安时，那只是因为他不够在乎了。#蒂洛薇小金瓶防晒,2023-03-29 20:08:36,4分35秒,97931,2085,5176,,https://www.douyin.com/share/video/7215882509450628384?
有的人不是突然态度就变了，只是懒得演了。,2023-04-06 20:02:49,4分59秒,96578,4802,14227,,https://www.douyin.com/share/video/7214844946996546875?
这个回头率相当炸裂！遇到一位女装大佬，女生看完都自愧不如，你心动了么？#凡士林身体乳 #凡士林果酸身体乳 #身体护理,2023-04-08 23:05:10,1分56秒,96392,409,523,,https://www.douyin.com/share/video/7219687680496454971?
被闺蜜安利的这组Cp #壬二酸 #水杨酸 组合给种草了!每天早晚涂一涂整个就爱上了． #拒绝草莓鼻,2023-02-22 18:13:15,15秒,96252,4583,14871,,https://www.douyin.com/share/video/7202921226593897731?
0基础修容教程，巨简单！包教包会！#化妆 #修容教程,2023-03-10 15:00:03,2分48秒,95246,9202,6737,,https://www.douyin.com/share/video/7208794706476551479?
粉饼做到这份上，真的绝了！国货之光！#粉饼 #定妆 #补妆,2023-03-31 17:02:22,3分30秒,95169,10280,6765,,https://www.douyin.com/share/video/7216618220348919099?
秀秀的这套造型姐妹们有机会一定要试试,2023-04-18 20:02:48,2分51秒,94498,2150,5357,,https://www.douyin.com/share/video/7223346032510389559?
分享了三四次的清洁泥膜 真的巨好用！#去黑头 #泥膜推荐,2023-03-20 17:00:39,1分41秒,94345,941,3265,,https://www.douyin.com/share/video/7212176634470763810?
猜猜我去那里拍摄啦～#vlog日常,2023-03-01 17:28:28,1分42秒,93491,1077,3025,,https://www.douyin.com/share/video/7205476442354830632?
家人们，这脱毛膏能处啊！一支管一个夏天！性价比巨高#好物种草 #薇婷 #抖音电商超级品牌日,2023-03-08 17:00:36,1分41秒,92918,3433,13037,,https://www.douyin.com/share/video/7206593545845624101?
不允许我的小姐妹们还没有用过～没有一个废色～真的很绝！#哑光高光 #修容前vs修容后 #修容教程 #平价彩妆,2023-03-05 21:54:30,16秒,92755,1721,6554,,https://www.douyin.com/share/video/7207060198157028669?
不是我们没有戏 是你真有法拉利#溪木源油痘肌新肌愈,2023-03-20 19:31:00,1分20秒,92697,5493,56807,,https://www.douyin.com/share/video/7212087942750260520?
收毛孔意外的好用！万年喇手脸！黑头鼻！终于上岸了（低成本版）#去黑头#清洁 #蒂佳婷安酸绿泥膜 #蒂佳婷安酸瓶,2023-02-27 12:01:00,1分46秒,91999,431,1216,,https://www.douyin.com/share/video/7203727564655840550?
强哥：告诉老默 我想洗头了#蓬松 #高颅顶 #洗发水 #欧莱雅玻尿酸洗发水,2023-03-08 17:00:42,58秒,90636,539,1265,,https://www.douyin.com/share/video/7207990189740789030?
爆火的胡萝卜色#显白 #帆布鞋    #马里奥,2023-03-26 21:32:33,10秒,90384,5610,12638,,https://www.douyin.com/share/video/7214847333173841187?
这件衣服又被称为情侣升温（分手）服……#小鱼海棠,2023-04-05 19:00:51,4分55秒,89101,6641,4783,,https://www.douyin.com/share/video/7218508103120145721?
谁穿谁好看的小裙子我真是太爱了！#大码女装 #显瘦穿搭 #谁穿谁好看 #开春搭配 #服饰种草官,2023-03-15 08:14:53,44秒,88841,10913,13725,,https://www.douyin.com/share/video/7210559804538981666?
朋友说我放弃流行的“网红混血妆” …化“东方骨相妆”贵气感直接杀疯了！#普通人化妆 #方圆脸 #散粉 #玉养紫色蜜粉,2023-03-01 18:00:43,2分23秒,88549,3373,8021,,https://www.douyin.com/share/video/7205455597507038522?
穿成未来媳妇买的衣服去见亲家母。我这样穿好看吗,2023-04-03 06:37:52,2分34秒,88208,6865,753,,https://www.douyin.com/share/video/7217585398304836920?
居家穿可！穿着睡觉可！压马路遛弯穿更可！#懂事的姐妹已经开始艾特了,2023-03-02 18:20:44,15秒,87698,9500,15056,,https://www.douyin.com/share/video/7205891836844543269?
没有天生适合的人，只有慢慢磨合的人@KONO官方旗舰店,2023-04-10 19:58:39,4分59秒,87349,1560,9219,,https://www.douyin.com/share/video/7220315421092695333?
家有一老是我们的福气！奶奶一百岁，给她做个美甲#老外 #国风 #美甲 #海之秘,2023-03-03 19:00:19,1小时6分46秒,86533,1332,466,,https://www.douyin.com/share/video/7206209784608017703?
朋友问我为什么当妈后皮肤变得更好了….#38节买什么 #抖音38女王节 #抗老精华,2023-03-08 15:50:29,2分23秒,85357,500,1584,,https://www.douyin.com/share/video/7208050455644032312?
孕妈妈也能用的防晒有多靠谱？真正实现抗养合一！#新碧小蓝帽 #敏感肌防晒 #物理防晒 #曼秀雷敦防晒,2023-03-28 17:14:23,1分56秒,84932,402,1673,,https://www.douyin.com/share/video/7215504120831118652?
有很多关系都需要用心维系，但只把真心对你的人维护好就行了#墨雪洗发水 @墨雪旗舰店,2023-03-05 17:30:23,3分,84776,2160,1914,,https://www.douyin.com/share/video/7206950826944908605?
毛桃女孩重生之滑溜蜕变！希望毛多的女孩都能刷到！#脱毛 #脱毛膏 #水之蔻,2023-03-03 17:01:10,1分13秒,84106,5276,17203,,https://www.douyin.com/share/video/7205762568319782201?
"一次5毛，实现辣妹自由啦？！#脱毛 #脱毛膏
 #水之蔻脱毛膏真实测评",2023-04-07 19:23:04,1分37秒,84007,2790,4264,,https://www.douyin.com/share/video/7219254378522250553?
熬夜选手倾情分享！这个值得回购的抗老精华很难不爱。#38女王节  #精华,2023-03-03 20:30:44,1分14秒,83703,320,1020,,https://www.douyin.com/share/video/7206277197076745530?
万人都在求的用中国传统色做成的口红，我找到了#试色#口红#花西子小黛纱唇纱#中国传统色,2023-03-02 18:01:15,1分29秒,83388,911,2001,,https://www.douyin.com/share/video/7205792877656558880?
我真的很爱男装夹克冲锋衣谁懂#无性别穿搭#男女同款#外套 分享 ！,2023-02-24 19:15:00,10秒,82470,2407,11668,,https://www.douyin.com/share/video/7203648615989022013?
无法拒绝的直筒牛仔裤，巨遮肉显瘦！版型宽松不挑人，很修饰腿型！#ootd穿搭 #显瘦裤子 #直筒牛仔裤 #好裤推荐,2023-03-10 11:40:24,10秒,82318,6040,14708,,https://www.douyin.com/share/video/7208757349673127201?
当厚本的脸成为世界的审美标准#绝美颜值#柏瑞美防晒粉饼@哈喽小莲花,2023-04-14 18:52:17,2分1秒,82095,4565,7404,,https://www.douyin.com/share/video/7221812639897275659?
和我一起体验苗族少女的一天吧！猜猜这次出门我都带了些什么？#敏感头皮#SLEKPRO大白瓶#SLEKPRO敏感头皮洗发露,2023-03-27 17:00:40,1分56秒,81651,606,604,,https://www.douyin.com/share/video/7214014902237777213?
三步逆天改命，拿捏美女氛围感。#沙宣蓬蓬瓶#高颅顶#抖音电商超级品牌日#38怎么过最尽兴,2023-03-03 17:00:59,1分33秒,81369,590,1171,,https://www.douyin.com/share/video/7202910459421314308?
师傅们别念了，粉膜这次真的回来了,2023-03-24 17:55:25,1分34秒,80940,31657,8239,,https://www.douyin.com/share/video/7213973324626464056?
好奇我的神之眼？呐，给你，喜欢的话要我给你做一个一样的吗？#神之眼,2023-03-30 17:54:51,10秒,80628,4100,3607,,https://www.douyin.com/share/video/7216275539651317003?
敏皮这不就防晒自由了～#测评 #新碧小蓝帽 #物理防晒霜 #敏感肌防晒 #曼秀雷敦防晒,2023-03-17 17:01:14,2分5秒,80455,911,2306,,https://www.douyin.com/share/video/7211357145550327100?
所有的有求必应，不过都来自于在乎你的人，用心的倾听和行动#WIS时光水 #春季新品必买清单 @WIS星品,2023-03-18 19:00:30,3分40秒,80160,1754,7133,,https://www.douyin.com/share/video/7211803126364392719?
一招改善凹陷 自信一整天！抓好关键几步就能快速变成美女#液体高光#骨相#泪沟#法令纹,2023-03-22 20:30:00,1分54秒,80119,913,11240,,https://www.douyin.com/share/video/7213287319023963447?
6点8 一条 琉璃手持手串 #簪娘,2023-03-04 13:29:50,8秒,79674,4441,2987,,https://www.douyin.com/share/video/7206559050702540084?
谁能想到这家伙就算黑都这么帅呢@唐梓Neil #水动力水乳 #碧欧泉男士 #碧欧泉水动力,2023-02-28 00:48:29,1分22秒,79441,2179,4176,,https://www.douyin.com/share/video/7204860617033829643?
